Model,Processor,RAM,Storage,Touchscreen,Price (INR)
Dell 7490,i5 8th Gen,8 GB,256 GB SSD,No,21000
Dell 7490,i5 8th Gen,8 GB,256 GB SSD,Yes,23000
Dell 7490,i5 8th Gen,8 GB,256 GB SSD,Yes,23000
Dell 5400,i5 8th Gen,8 GB,256 GB SSD,No,21000
Dell 5420,i5 11th Gen,8 GB,256 GB SSD,No,30000
Dell 5410,i5 10th Gen,8 GB,256 GB SSD,No,26000
Dell 5280,i5 7th Gen,8 GB,256 GB SSD,No,15000
Dell 5290,i5 7th Gen,8 GB,256 GB SSD,No,15000
Dell 5480,i5 7th Gen,8 GB,256 GB SSD,No,15000
Lenovo L460,i5 6th Gen,8 GB,256 GB SSD,No,14000
Lenovo L490,i5 8th Gen,8 GB,256 GB SSD,No,17000
Lenovo L14,i5 10th Gen,8 GB,256 GB SSD,No,24500
Lenovo T480s,i7 8th Gen,8 GB,256 GB SSD,Yes,25500
Lenovo T480,i7 8th Gen,8 GB,256 GB SSD,No,24000
Lenovo T480,i5 8th Gen,8 GB,256 GB SSD,No,18000
HP 830 G6,i5 8th Gen,8 GB,256 GB SSD,No,22000
HP Elitebook 745 G6,Ryzen 5 Pro,8 GB,256 GB SSD,No,18000
